Cause of death;Both sexes;Male;Female
Cirrhosis due to alcohol use;56.533;40.545;15.988
Other liver cirrhosis;24.608;11.485;13.123
Appendicitis;4.281;2.334;1.947
Gastritis and duodenitis;3.652;1.839;1.813
Paralytic ileus and intestinal obstruction;24.508;11.455;13.053
Inflammatory bowel disease;3.222;1.504;1.717
Gallbladder and biliary diseases;20.761;8.925;11.835
Pancreatitis;16.524;9.779;6.746
Other digestive diseases;129.667;66.066;63.601
Genitourinary diseases;236.261;118.056;118.205
Kidney diseases;173.954;89.992;83.962
Acute glomerulonephritis;250;123;127
Chronic kidney disease due to diabetes;57.434;32.609;24.825
Other chronic kidney disease;116.270;57.260;59.010
Benign prostatic hyperplasia;3.283;3.283;0
Urolithiasis;1.763;819;944
Other urinary diseases;56.647;23.962;32.684
Infertility;0;0;0
Gynecological diseases;615;0;615
Skin diseases;20.283;8.732;11.550
Musculoskeletal diseases;35.213;11.918;23.295
Rheumatoid arthritis;6.109;1.516;4.593
Osteoarthritis;2.125;715;1.410
Gout;233;186;47
Back and neck pain;1.537;842;695
Other musculoskeletal disorders;25.210;8.659;16.550
Congenital anomalies;65.261;34.319;30.942
Neural tube defects;3.542;1.589;1.952
Cleft lip and cleft palate;130;70;59
Down syndrome;4.251;2.204;2.047
Congenital heart anomalies;28.104;15.090;13.014
Other chromosomal anomalies;4.718;2.222;2.497
Other congenital anomalies;24.517;13.144;11.373
Oral conditions;573;289;284
Sudden infant death syndrome;2.828;1.595;1.233
Injuries;635.749;484.420;151.329
Unintentional injuries;358.132;251.449;106.682
Road injury;153.814;119.458;34.357
Poisonings;5.893;3.440;2.453
Falls;70.137;38.941;31.196
Fire, heat and hot substances;8.182;5.031;3.151
Drowning;22.329;18.620;3.709
Exposure to mechanical forces;13.070;10.820;2.250
Natural disasters;1.109;791;318
Other unintentional injuries;83.598;54.349;29.248
Intentional injuries;277.617;232.970;44.647
Self-harm;96.890;73.839;23.051
Interpersonal violence;175.940;154.777;21.162
Collective violence and legal intervention;4.788;4.354;434
