Cause of death,Both sexes,Male,Female
Gastritis and duodenitis,3.652,1.839,1.813
Neural tube defects,3.542,1.589,1.952
Sickle cell disorders and trait,3.493,1.550,1.943
Acute hepatitis E,3.300,1.667,1.633
Benign prostatic hyperplasia,3.283,3.283,0
Inflammatory bowel disease,3.222,1.504,1.717
Sudden infant death syndrome,2.828,1.595,1.233
Other nutritional deficiencies,2.744,1.340,1.404
STDs excluding HIV,2.691,1.046,1.645
Testicular cancer,2.667,2.667,0
Acute hepatitis B,2.654,1.661,992
Cysticercosis,2.357,1.122,1.235
Dengue,2.222,1.179,1.043
Syphilis,2.153,1.032,1.121
Osteoarthritis,2.125,715,1.410
Amphetamine use disorders,2.024,1.405,618
Nasopharynx,1.847,1.303,544
Urolithiasis,1.763,819,944
Schizophrenia,1.598,842,756
Back and neck pain,1.537,842,695
Natural disasters,1.109,791,318
Acute hepatitis A,900,450,450
Childhood-cluster diseases,873,567,306
Echinococcosis,862,370,492
Idiopathic intellectual disability,709,373,336
Upper respiratory infections,667,336,331
Gynecological diseases,615,0,615
Eating disorders,611,182,430
Leishmaniasis,594,371,222
Oral conditions,573,289,284
Schistosomiasis,537,279,258
Yellow fever,519,342,177
Tetanus,504,377,127
Thalassaemias,396,180,215
Whooping cough,353,179,174
Malaria,325,173,152
Gonorrhoea,301,8,293
Sense organ diseases,259,133,125
Acute glomerulonephritis,250,123,127
Bipolar disorder,242,94,148
Gout,233,186,47
Otitis media,210,123,88
Rabies,174,86,88
Other STDs,134,6,128
Cleft lip and cleft palate,130,70,59
Intestinal nematode infections,119,62,57
Ascariasis,114,59,54
Chlamydia,103,0,103
Iodine deficiency,58,24,35
Leprosy,52,21,30
Acute hepatitis C,20,11,9
Diphtheria,15,10,5
Food-bourne trematodes,5,3,2
Migraine,5,2,3
Vitamin A deficiency,3,2,1
Lymphatic filariasis,1,1,0
Measles,1,0,1
Onchocerciasis,1,1,0
